,name,image,profile,
47,黒田 楓和,http://www.nmb48.com/member/kuroda_fuuwa/images/img_photo_small.jpg,http://www.nmb48.com/member/kuroda_fuuwa,
48,佐月 愛果,http://www.nmb48.com/member/satsuki_aika/images/img_photo_small.jpg,http://www.nmb48.com/member/satsuki_aika,
49,隅野 和奏,http://www.nmb48.com/member/sumino_wakana/images/img_photo_small.jpg,http://www.nmb48.com/member/sumino_wakana,
50,早川 夢菜,http://www.nmb48.com/member/hayakawa_yuna/images/img_photo_small.jpg,http://www.nmb48.com/member/hayakawa_yuna,
51,平山 真衣,http://www.nmb48.com/member/hirayama_mai/images/img_photo_small.jpg,http://www.nmb48.com/member/hirayama_mai,
52,眞鍋 杏樹,http://www.nmb48.com/member/manabe_anju/images/img_photo_small.jpg,http://www.nmb48.com/member/manabe_anju,
53,芳野 心咲,http://www.nmb48.com/member/yoshino_misaki/images/img_photo_small.jpg,http://www.nmb48.com/member/yoshino_misaki,
54,和田 海佑,http://www.nmb48.com/member/wada_miyu/images/img_photo_small.jpg,http://www.nmb48.com/member/wada_miyu,
0,石田 千穂,https://www.stu48.com/image/profile/ishida_chiho.jpg,https://www.stu48.com/feature/ishida_chiho,
1,石田 みなみ,https://www.stu48.com/image/profile/ishida_minami.jpg,https://www.stu48.com/feature/ishida_minami,
2,岩田 陽菜,https://www.stu48.com/image/profile/iwata_hina.jpg,https://www.stu48.com/feature/iwata_hina,
3,大谷 満理奈,https://www.stu48.com/image/profile/otani_marina.jpg,https://www.stu48.com/feature/otani_marina,
4,岡田 奈々,https://www.stu48.com/image/profile/okada_nana.jpg,https://www.stu48.com/feature/okada_nana,
5,甲斐 心愛,https://www.stu48.com/image/profile/kai_kokoa.jpg,https://www.stu48.com/feature/kai_kokoa,
6,門脇 実優菜,https://www.stu48.com/image/profile/kadowaki_miyuna.jpg,https://www.stu48.com/feature/kadowaki_miyuna,
7,榊 美優,https://www.stu48.com/image/profile/sakaki_miyu.jpg,https://www.stu48.com/feature/sakaki_miyu,
8,瀧野 由美子,https://www.stu48.com/image/profile/takino_yumiko.jpg,https://www.stu48.com/feature/takino_yumiko,
9,田中 皓子,https://www.stu48.com/image/profile/tanaka_kouko.jpg,https://www.stu48.com/feature/tanaka_kouko,
10,谷口 茉妃菜,https://www.stu48.com/image/profile/taniguchi_mahina.jpg,https://www.stu48.com/feature/taniguchi_mahina,
11,兵頭 葵,https://www.stu48.com/image/profile/hyodo_aoi.jpg,https://www.stu48.com/feature/hyodo_aoi,
